s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 6.0078914E+001, 1.7237246E+002, 4.2592163E+001, 2.5649958E+001, 2.0010584E+001, 2.0959013E+002, 3.6935748E+001, 2.2179795E+001, 2.0019133E+001, 1.2695289E-003
 6.1042897E+001, 1.1756276E+002, 4.2743336E+001, 2.5208727E+001, 2.0014601E+001, 1.9352382E+002, 3.7727413E+001, 2.2630895E+001, 2.0022291E+001, 1.3993007E-003
 6.2019652E+001, 1.7055631E+002, 4.2354070E+001, 2.4400029E+001, 2.0365592E+001, 1.9448824E+002, 3.8440794E+001, 2.2919717E+001, 2.0039540E+001, 1.5371518E-003
 6.2988792E+001, 1.3796196E+002, 4.0392873E+001, 2.2253370E+001, 2.0940057E+001, 1.8771215E+002, 3.8822885E+001, 2.2966750E+001, 2.0123221E+001, 1.6675880E-003
 6.3955272E+001, 1.4702689E+002, 4.3291264E+001, 2.0990881E+001, 2.0739608E+001, 1.8123410E+002, 3.9158573E+001, 2.2784942E+001, 2.0212321E+001, 1.8354584E-003
 6.4920584E+001, 1.4557843E+002, 4.5803326E+001, 2.0587019E+001, 2.0457847E+001, 1.7859003E+002, 4.0032007E+001, 2.2536745E+001, 2.0259646E+001, 2.0413643E-003
 6.5902788E+001, 1.9677790E+002, 4.4203640E+001, 2.0509453E+001, 2.0299214E+001, 1.7980643E+002, 4.0710186E+001, 2.2281853E+001, 2.0277018E+001, 2.2653946E-003
 6.6860985E+001, 1.7636326E+002, 4.5321911E+001, 2.0870228E+001, 2.0188913E+001, 1.8963695E+002, 4.1192491E+001, 2.2086135E+001, 2.0276840E+001, 2.5106061E-003
 6.7842487E+001, 1.4921559E+002, 5.1967374E+001, 2.1255705E+001, 2.0106765E+001, 1.9288261E+002, 4.2339443E+001, 2.1980215E+001, 2.0264314E+001, 2.8604461E-003
 6.8809391E+001, 1.3589886E+002, 4.9809417E+001, 2.1379315E+001, 2.0062811E+001, 1.8550943E+002, 4.3811825E+001, 2.1908143E+001, 2.0245662E+001, 3.3558660E-003
 6.9770098E+001, 1.2386746E+002, 4.5873057E+001, 2.1827774E+001, 2.0046583E+001, 1.7153197E+002, 4.4253850E+001, 2.1880571E+001, 2.0227077E+001, 4.0622916E-003
 7.0745561E+001, 1.7847751E+002, 4.6040038E+001, 2.1830441E+001, 2.0042204E+001, 1.7099973E+002, 4.4375112E+001, 2.1887860E+001, 2.0211086E+001, 4.9869464E-003
 7.1713426E+001, 1.7047883E+002, 4.6547065E+001, 2.2175241E+001, 2.0042680E+001, 1.8536354E+002, 4.4723241E+001, 2.1897857E+001, 2.0197967E+001, 5.9386596E-003
 7.2689431E+001, 1.7328374E+002, 4.3863145E+001, 2.5030460E+001, 2.0044757E+001, 1.8575026E+002, 4.4657544E+001, 2.2116551E+001, 2.0187124E+001, 6.6490437E-003
 7.3660967E+001, 1.6357539E+002, 5.5452638E+001, 2.7498909E+001, 2.0049549E+001, 1.8724059E+002, 4.5565631E+001, 2.2713060E+001, 2.0178445E+001, 6.9691398E-003
 7.4629243E+001, 1.9078974E+002, 5.1381170E+001, 2.9149679E+001, 2.0060125E+001, 1.9073789E+002, 4.6912829E+001, 2.3493652E+001, 2.0172279E+001, 7.0050418E-003
 7.5594368E+001, 1.5351207E+002, 4.8345731E+001, 2.8858583E+001, 2.0080500E+001, 1.9110132E+002, 4.7361847E+001, 2.4203122E+001, 2.0169037E+001, 7.0824225E-003
 7.6568897E+001, 1.6902619E+002, 4.4481189E+001, 2.5776911E+001, 2.0118217E+001, 1.9095746E+002, 4.7103028E+001, 2.4604178E+001, 2.0169973E+001, 7.1262839E-003
 7.7540806E+001, 1.5900354E+002, 4.1055004E+001, 2.2921794E+001, 2.0170667E+001, 1.8575580E+002, 4.6407589E+001, 2.4519056E+001, 2.0176504E+001, 6.9352061E-003
 7.8509638E+001, 1.4884114E+002, 4.4593590E+001, 2.2653280E+001, 2.0317130E+001, 1.8464967E+002, 4.5806054E+001, 2.4267901E+001, 2.0191978E+001, 6.4973215E-003
 7.9472945E+001, 1.0806331E+002, 5.1474608E+001, 2.3206789E+001, 2.1462757E+001, 1.7517074E+002, 4.6038988E+001, 2.4101481E+001, 2.0267642E+001, 6.2991040E-003
 8.0441139E+001, 1.5434703E+002, 4.9944536E+001, 2.3949061E+001, 2.5906590E+001, 1.7395298E+002, 4.7035488E+001, 2.4038810E+001, 2.0774348E+001, 6.2230766E-003
 8.1419080E+001, 1.2885155E+002, 4.3315312E+001, 2.4876892E+001, 2.7875758E+001, 1.7455846E+002, 4.6770704E+001, 2.4083807E+001, 2.1791236E+001, 6.2435741E-003
 8.2387835E+001, 1.3676434E+002, 4.5458563E+001, 2.5270054E+001, 2.8655523E+001, 1.6589057E+002, 4.6221382E+001, 2.4199066E+001, 2.2746177E+001, 6.3980442E-003
 8.3350260E+001, 1.4663663E+002, 4.6500383E+001, 2.5282252E+001, 2.7525553E+001, 1.6896467E+002, 4.6295199E+001, 2.4307926E+001, 2.3562312E+001, 6.5228998E-003
 8.4320162E+001, 1.2356444E+002, 4.4925313E+001, 2.5453980E+001, 2.6391059E+001, 1.6485285E+002, 4.6071718E+001, 2.4427514E+001, 2.4050769E+001, 6.6512944E-003
