s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 1.6192342E+002, 1.4294580E+002, 3.7358099E+001, 3.4836828E+001, 3.3999425E+001, 1.9606624E+002, 4.9233215E+001, 3.1710297E+001, 3.3042734E+001, 1.5930954E-002
 1.6289490E+002, 1.6949231E+002, 4.4518308E+001, 3.2842423E+001, 3.4216395E+001, 1.9175254E+002, 4.7900299E+001, 3.2034352E+001, 3.3107291E+001, 1.5741335E-002
 1.6386417E+002, 1.5981322E+002, 5.1121391E+001, 3.1786051E+001, 3.4627669E+001, 1.9649115E+002, 4.7920082E+001, 3.2027952E+001, 3.3207647E+001, 1.5569242E-002
 1.6483580E+002, 2.2426634E+002, 5.6532649E+001, 3.2629890E+001, 3.4705361E+001, 1.9778215E+002, 4.8914246E+001, 3.1986814E+001, 3.3333462E+001, 1.5511223E-002
 1.6580900E+002, 2.1938045E+002, 5.6912842E+001, 3.2623202E+001, 3.4285727E+001, 2.1224015E+002, 5.0300720E+001, 3.2066878E+001, 3.3416616E+001, 1.5532836E-002
 1.6677809E+002, 2.8298868E+002, 5.2143762E+001, 3.1962019E+001, 3.4172321E+001, 2.3954543E+002, 5.0765803E+001, 3.2066154E+001, 3.3452403E+001, 1.5650205E-002
 1.6774597E+002, 2.2214123E+002, 5.7296917E+001, 3.2195088E+001, 3.4191463E+001, 2.6000723E+002, 5.1391653E+001, 3.2006193E+001, 3.3484055E+001, 1.5894844E-002
 1.6871842E+002, 2.1410619E+002, 4.8011082E+001, 3.1367676E+001, 3.4010973E+001, 2.5162846E+002, 5.1626817E+001, 3.1943605E+001, 3.3498935E+001, 1.6064300E-002
 1.6969077E+002, 2.8047891E+002, 4.4490258E+001, 2.9416989E+001, 3.4098970E+001, 2.5600652E+002, 5.0534128E+001, 3.1655738E+001, 3.3503515E+001, 1.6208453E-002
 1.7065814E+002, 1.7537327E+002, 4.8689315E+001, 2.8449485E+001, 3.4155082E+001, 2.5388494E+002, 4.9880802E+001, 3.1160159E+001, 3.3521697E+001, 1.6219365E-002
 1.7162051E+002, 2.1182589E+002, 5.1147261E+001, 2.9114197E+001, 3.3873956E+001, 2.3673774E+002, 4.9798512E+001, 3.0708654E+001, 3.3519733E+001, 1.6099382E-002
 1.7259803E+002, 3.6239058E+002, 6.0453259E+001, 3.1830814E+001, 3.3431229E+001, 2.7794528E+002, 5.0671610E+001, 3.0676556E+001, 3.3468046E+001, 1.5904224E-002
 1.7356619E+002, 2.5373187E+002, 5.2078933E+001, 3.0196367E+001, 3.3232452E+001, 2.8262896E+002, 5.1878344E+001, 3.0731400E+001, 3.3380297E+001, 1.5637428E-002
 1.7453965E+002, 2.7523806E+002, 4.2472131E+001, 3.2025721E+001, 3.3324396E+001, 2.9196153E+002, 5.0752681E+001, 3.0681205E+001, 3.3299690E+001, 1.5442199E-002
 1.7550081E+002, 1.4382380E+002, 4.3646756E+001, 3.4700207E+001, 3.3540524E+001, 2.7406906E+002, 4.9542576E+001, 3.1148922E+001, 3.3251923E+001, 1.5452483E-002
 1.7647872E+002, 1.1207705E+002, 4.3505818E+001, 3.6386199E+001, 3.3920145E+001, 2.3634447E+002, 4.8727256E+001, 3.1873733E+001, 3.3247636E+001, 1.5573000E-002
 1.7744345E+002, 1.3544927E+002, 4.5700761E+001, 3.6045952E+001, 3.4457118E+001, 2.0972438E+002, 4.7958628E+001, 3.2620186E+001, 3.3308369E+001, 1.5796684E-002
 1.7841494E+002, 1.3900326E+002, 5.3294310E+001, 3.5228424E+001, 3.4400865E+001, 1.9229953E+002, 4.8206012E+001, 3.3040337E+001, 3.3400697E+001, 1.6089122E-002
 1.7938673E+002, 1.6796093E+002, 5.1011994E+001, 3.7578536E+001, 3.3838686E+001, 1.8628738E+002, 4.8822079E+001, 3.3551649E+001, 3.3430714E+001, 1.6374581E-002
 1.8035509E+002, 1.9823053E+002, 4.9330838E+001, 3.6526127E+001, 3.3263727E+001, 1.9767632E+002, 4.8877644E+001, 3.4192460E+001, 3.3378408E+001, 1.6368929E-002
 1.8132742E+002, 2.3278576E+002, 5.0440813E+001, 3.2683246E+001, 3.2813890E+001, 2.1730647E+002, 4.8936944E+001, 3.4166530E+001, 3.3268066E+001, 1.6158591E-002
 1.8229119E+002, 2.2806403E+002, 5.2988004E+001, 3.0749864E+001, 3.2647945E+001, 2.1938034E+002, 4.9286328E+001, 3.3689907E+001, 3.3132958E+001, 1.5944636E-002
 1.8326100E+002, 1.7858996E+002, 5.4424891E+001, 3.0729287E+001, 3.2910543E+001, 2.2535661E+002, 4.9968022E+001, 3.3129502E+001, 3.3022286E+001, 1.5826543E-002
 1.8423365E+002, 2.6025783E+002, 5.0023082E+001, 3.1775907E+001, 3.3407262E+001, 2.2828669E+002, 5.0319867E+001, 3.2802310E+001, 3.2978031E+001, 1.5783918E-002
 1.8520943E+002, 2.5591014E+002, 5.0425419E+001, 3.2236763E+001, 3.3761630E+001, 2.4960351E+002, 5.0006460E+001, 3.2604282E+001, 3.2998924E+001, 1.5754120E-002
 1.8618086E+002, 2.8834054E+002, 5.4379164E+001, 3.3206240E+001, 3.3802654E+001, 2.5817730E+002, 5.0472214E+001, 3.2587815E+001, 3.3039997E+001, 1.5698225E-002
 1.8714662E+002, 2.0344453E+002, 5.2770417E+001, 3.4791507E+001, 3.3609590E+001, 2.7685339E+002, 5.0845578E+001, 3.2756707E+001, 3.3061792E+001, 1.5655768E-002
 1.8811061E+002, 1.4049386E+002, 5.0776150E+001, 3.3477274E+001, 3.3476313E+001, 2.4377407E+002, 5.0842759E+001, 3.2982995E+001, 3.3054840E+001, 1.5656098E-002
 1.8908432E+002, 1.3041166E+002, 5.3566410E+001, 3.2696501E+001, 3.3640238E+001, 2.2320335E+002, 5.0888860E+001, 3.2881572E+001, 3.3050931E+001, 1.5690501E-002
 1.9005869E+002, 1.7184427E+002, 5.6067798E+001, 3.3552515E+001, 3.3832124E+001, 2.0593388E+002, 5.1514130E+001, 3.2898236E+001, 3.3070940E+001, 1.5801100E-002
 1.9102674E+002, 1.5747880E+002, 4.8239917E+001, 3.2847798E+001, 3.3982251E+001, 1.9843576E+002, 5.1505310E+001, 3.2905938E+001, 3.3106235E+001, 1.5910077E-002
 1.9199044E+002, 1.5657330E+002, 4.9176186E+001, 3.1532580E+001, 3.4098568E+001, 1.9058161E+002, 5.0908721E+001, 3.2733758E+001, 3.3149763E+001, 1.6174234E-002
 1.9296097E+002, 1.8401084E+002, 5.1794135E+001, 3.3278881E+001, 3.4123354E+001, 1.9318108E+002, 5.0785018E+001, 3.2577496E+001, 3.3192909E+001, 1.6426181E-002
 1.9393289E+002, 1.8361451E+002, 5.2116792E+001, 3.6394949E+001, 3.3938149E+001, 2.0367217E+002, 5.0847688E+001, 3.2979202E+001, 3.3223427E+001, 1.6717838E-002
 1.9490847E+002, 1.7307396E+002, 5.3259907E+001, 3.5831423E+001, 3.3551768E+001, 2.0220572E+002, 5.0964244E+001, 3.3468383E+001, 3.3218448E+001, 1.6944039E-002
 1.9588230E+002, 1.7250071E+002, 5.4320908E+001, 3.4400025E+001, 3.3213190E+001, 1.9669449E+002, 5.1346372E+001, 3.3696733E+001, 3.3171365E+001, 1.7192288E-002
 1.9684256E+002, 2.1106052E+002, 5.3225609E+001, 3.4615302E+001, 3.3112594E+001, 2.0159154E+002, 5.1586265E+001, 3.3730901E+001, 3.3102825E+001, 1.7426786E-002
 1.9781876E+002, 1.1308654E+002, 4.7597405E+001, 3.6109872E+001, 3.3494993E+001, 2.0023829E+002, 5.1367879E+001, 3.3932053E+001, 3.3059821E+001, 1.7413462E-002
 1.9878357E+002, 9.5010689E+001, 4.4279816E+001, 3.6798723E+001, 3.4400447E+001, 1.7754944E+002, 5.0424715E+001, 3.4300587E+001, 3.3104644E+001, 1.7226183E-002
 1.9975085E+002, 1.4164192E+002, 4.4383763E+001, 3.6492004E+001, 3.5337802E+001, 1.6830596E+002, 4.9396558E+001, 3.4605925E+001, 3.3263583E+001, 1.7042522E-002
 2.0072763E+002, 2.2725621E+002, 4.3429164E+001, 3.7282226E+001, 3.5683614E+001, 1.7878075E+002, 4.8523905E+001, 3.4921275E+001, 3.3485298E+001, 1.6877630E-002
 2.0170128E+002, 2.0295926E+002, 4.3332890E+001, 3.6331513E+001, 3.5474981E+001, 2.0667481E+002, 4.7719870E+001, 3.5199260E+001, 3.3681042E+001, 1.6777883E-002
 2.0266796E+002, 1.4320887E+002, 4.7957527E+001, 3.2465356E+001, 3.5269447E+001, 2.0121152E+002, 4.7345940E+001, 3.5043446E+001, 3.3815848E+001, 1.6552800E-002
 2.0364221E+002, 1.5098800E+002, 5.2390927E+001, 3.0814651E+001, 3.5412539E+001, 1.8854038E+002, 4.7828860E+001, 3.4374085E+001, 3.3931773E+001, 1.6437893E-002
 2.0460743E+002, 1.4861739E+002, 5.1084246E+001, 3.0975871E+001, 3.5499245E+001, 1.9171287E+002, 4.8374316E+001, 3.3782899E+001, 3.4056267E+001, 1.6445824E-002
 2.0557303E+002, 1.1695413E+002, 5.0632240E+001, 3.3072120E+001, 3.5395059E+001, 1.7677766E+002, 4.8644763E+001, 3.3419936E+001, 3.4170390E+001, 1.6410325E-002
 2.0654403E+002, 1.4065603E+002, 4.7698132E+001, 3.2837910E+001, 3.5357464E+001, 1.7350429E+002, 4.8649476E+001, 3.3336937E+001, 3.4262005E+001, 1.6272525E-002
 2.0751291E+002, 9.4488718E+001, 4.7583495E+001, 3.2374956E+001, 3.5284649E+001, 1.6092608E+002, 4.8416435E+001, 3.3139342E+001, 3.4334638E+001, 1.6233422E-002
 2.0848773E+002, 1.6398609E+002, 4.4438054E+001, 3.3635561E+001, 3.5044862E+001, 1.6036713E+002, 4.8056924E+001, 3.3042500E+001, 3.4371505E+001, 1.6375802E-002
 2.0945491E+002, 1.4348437E+002, 3.9367907E+001, 3.4289287E+001, 3.4728394E+001, 1.6499628E+002, 4.7062755E+001, 3.3211724E+001, 3.4367296E+001, 1.6705736E-002
 2.1042318E+002, 1.4303607E+002, 4.2374083E+001, 3.0486085E+001, 3.4162363E+001, 1.6151313E+002, 4.6091618E+001, 3.3013817E+001, 3.4307625E+001, 1.7298333E-002
 2.1139290E+002, 1.4788145E+002, 4.8401321E+001, 3.0120261E+001, 3.3639132E+001, 1.6919922E+002, 4.5929079E+001, 3.2486845E+001, 3.4181883E+001, 1.7566601E-002
 2.1236018E+002, 1.2957812E+002, 4.9436911E+001, 3.0580971E+001, 3.3560835E+001, 1.6715769E+002, 4.6266955E+001, 3.2106445E+001, 3.4034915E+001, 1.7361306E-002
 2.1333687E+002, 8.3320814E+001, 4.8393416E+001, 3.0568546E+001, 3.3882538E+001, 1.5614672E+002, 4.6552333E+001, 3.1849030E+001, 3.3925168E+001, 1.7119975E-002
 2.1430871E+002, 8.2757719E+001, 4.8733863E+001, 2.8839574E+001, 3.4346387E+001, 1.4456348E+002, 4.6698618E+001, 3.1476474E+001, 3.3882079E+001, 1.7027051E-002
 2.1527863E+002, 1.3625133E+002, 5.4010942E+001, 2.9471049E+001, 3.4701705E+001, 1.4339970E+002, 4.7276031E+001, 3.1040641E+001, 3.3898451E+001, 1.7150522E-002
 2.1624403E+002, 1.5237505E+002, 5.4570906E+001, 3.2870122E+001, 3.4718387E+001, 1.5028615E+002, 4.8381656E+001, 3.1048916E+001, 3.3937860E+001, 1.7415057E-002
 2.1721523E+002, 1.9674359E+002, 4.7202136E+001, 3.3669217E+001, 3.4392875E+001, 1.6719898E+002, 4.8736994E+001, 3.1418103E+001, 3.3951700E+001, 1.7527084E-002
 2.1819359E+002, 1.6012139E+002, 4.7237202E+001, 3.3218484E+001, 3.3923761E+001, 1.7824716E+002, 4.8219407E+001, 3.1739903E+001, 3.3908838E+001, 1.7359690E-002
 2.1915514E+002, 1.5477035E+002, 4.6755912E+001, 3.0357850E+001, 3.3648850E+001, 1.7879399E+002, 4.8096683E+001, 3.1713483E+001, 3.3822318E+001, 1.7165598E-002
 2.2012630E+002, 1.1818372E+002, 4.4372138E+001, 2.9746854E+001, 3.3758282E+001, 1.7618141E+002, 4.7609716E+001, 3.1369987E+001, 3.3738318E+001, 1.7003431E-002
 2.2110180E+002, 1.7311418E+002, 5.2165227E+001, 2.9865834E+001, 3.4093680E+001, 1.7403227E+002, 4.7612429E+001, 3.1097487E+001, 3.3693904E+001, 1.6922975E-002
 2.2206336E+002, 2.2686010E+002, 5.5131930E+001, 3.0101283E+001, 3.4551033E+001, 1.8698207E+002, 4.8522503E+001, 3.0884493E+001, 3.3705179E+001, 1.6669830E-002
 2.2303826E+002, 1.4567608E+002, 5.3539900E+001, 3.0043626E+001, 3.4932002E+001, 2.0140039E+002, 4.9200348E+001, 3.0694442E+001, 3.3765066E+001, 1.6409303E-002
 2.2400011E+002, 1.5475396E+002, 5.5611591E+001, 3.1695114E+001, 3.5095654E+001, 1.8867270E+002, 4.9926510E+001, 3.0658420E+001, 3.3847243E+001, 1.6361907E-002
 2.2497845E+002, 2.0578166E+002, 5.4769874E+001, 3.6873612E+001, 3.4914698E+001, 1.9275790E+002, 5.0741308E+001, 3.1222087E+001, 3.3915022E+001, 1.6523367E-002
 2.2594480E+002, 1.9525098E+002, 4.4304179E+001, 3.6198174E+001, 3.4587491E+001, 2.0474237E+002, 5.0590587E+001, 3.2075464E+001, 3.3939400E+001, 1.6795005E-002
 2.2692015E+002, 1.5874171E+002, 4.3661851E+001, 3.4477539E+001, 3.4372193E+001, 2.0528248E+002, 4.9445858E+001, 3.2613378E+001, 3.3927821E+001, 1.7060314E-002
 2.2788143E+002, 1.5240481E+002, 5.0929711E+001, 3.2283080E+001, 3.4249279E+001, 1.9421964E+002, 4.9041934E+001, 3.2674507E+001, 3.3899945E+001, 1.7264833E-002
 2.2886000E+002, 1.1985918E+002, 5.6705076E+001, 3.0799659E+001, 3.4138094E+001, 1.8365959E+002, 4.9737558E+001, 3.2408045E+001, 3.3862856E+001, 1.7390504E-002
 2.2982580E+002, 2.0882030E+002, 5.5354129E+001, 3.1843237E+001, 3.4035048E+001, 1.9214846E+002, 5.0575834E+001, 3.2200695E+001, 3.3817492E+001, 1.7503415E-002
 2.3079608E+002, 2.2130821E+002, 5.5579381E+001, 3.1744411E+001, 3.3998936E+001, 2.0411468E+002, 5.1200327E+001, 3.2065352E+001, 3.3768704E+001, 1.7647837E-002
 2.3176740E+002, 1.7423108E+002, 4.8386308E+001, 3.2899159E+001, 3.4095543E+001, 2.0884312E+002, 5.1038604E+001, 3.2083178E+001, 3.3727750E+001, 1.7823620E-002
 2.3273431E+002, 1.3770027E+002, 4.4062901E+001, 3.2762050E+001, 3.4378930E+001, 1.9918768E+002, 5.0305730E+001, 3.2167841E+001, 3.3711181E+001, 1.7915040E-002
 2.3370106E+002, 1.0149751E+002, 4.5793356E+001, 3.2909804E+001, 3.4800813E+001, 1.8092404E+002, 4.9212977E+001, 3.2232288E+001, 3.3737321E+001, 1.7881530E-002
 2.3467848E+002, 2.0213847E+002, 5.1201807E+001, 3.1347045E+001, 3.5152515E+001, 1.7859164E+002, 4.9040899E+001, 3.2200046E+001, 3.3806958E+001, 1.7718113E-002
 2.3564815E+002, 1.6762564E+002, 5.4962584E+001, 3.1073676E+001, 3.5283004E+001, 1.9447459E+002, 4.9612776E+001, 3.1941550E+001, 3.3897232E+001, 1.7438744E-002
 2.3661492E+002, 1.6321971E+002, 5.5644293E+001, 3.2045598E+001, 3.5193644E+001, 1.8840962E+002, 5.0364999E+001, 3.1846445E+001, 3.3975694E+001, 1.7219726E-002
 2.3758993E+002, 1.7901848E+002, 5.3662181E+001, 3.2970047E+001, 3.5105907E+001, 1.9437654E+002, 5.1061542E+001, 3.1901171E+001, 3.4029455E+001, 1.7040262E-002
 2.3855374E+002, 1.7385846E+002, 4.5435392E+001, 3.4163128E+001, 3.5181971E+001, 1.9556259E+002, 5.0495911E+001, 3.2135695E+001, 3.4074948E+001, 1.7004384E-002
 2.3952231E+002, 1.6586385E+002, 4.5143808E+001, 3.2945251E+001, 3.5425438E+001, 1.9509315E+002, 4.9629646E+001, 3.2339020E+001, 3.4135789E+001, 1.6997916E-002
 2.4049249E+002, 1.3367864E+002, 4.7885562E+001, 3.3133064E+001, 3.5706367E+001, 1.8878190E+002, 4.8961540E+001, 3.2373218E+001, 3.4225146E+001, 1.7034013E-002
 2.4146097E+002, 1.4478237E+002, 5.2167800E+001, 3.1822105E+001, 3.5791473E+001, 1.8155107E+002, 4.9067870E+001, 3.2377223E+001, 3.4330057E+001, 1.7104016E-002
 2.4243259E+002, 1.3564908E+002, 5.2960135E+001, 3.2128840E+001, 3.5532101E+001, 1.8099130E+002, 4.9595156E+001, 3.2214980E+001, 3.4417412E+001, 1.7330452E-002
 2.4340863E+002, 1.4598221E+002, 5.6437803E+001, 3.4232893E+001, 3.4952630E+001, 1.7566286E+002, 5.0069664E+001, 3.2367560E+001, 3.4446298E+001, 1.7682828E-002
 2.4437028E+002, 1.7620371E+002, 5.1271293E+001, 3.3677277E+001, 3.4433149E+001, 1.7482160E+002, 5.1179214E+001, 3.2606154E+001, 3.4401400E+001, 1.8014666E-002
 2.4534587E+002, 1.7926584E+002, 4.5117033E+001, 3.2935886E+001, 3.4363887E+001, 1.8970209E+002, 5.0375455E+001, 3.2655798E+001, 3.4325722E+001, 1.8276683E-002
 2.4631624E+002, 2.6101496E+002, 4.8571062E+001, 3.2842421E+001, 3.4619581E+001, 2.1011561E+002, 4.9841878E+001, 3.2641478E+001, 3.4275015E+001, 1.8499682E-002
 2.4728852E+002, 2.0728052E+002, 4.4110885E+001, 3.2961124E+001, 3.4906476E+001, 2.2778787E+002, 4.9272280E+001, 3.2637917E+001, 3.4267845E+001, 1.8768587E-002
 2.4825622E+002, 2.4899233E+002, 4.6650498E+001, 3.1107277E+001, 3.5135785E+001, 2.2922948E+002, 4.8441184E+001, 3.2527437E+001, 3.4295584E+001, 1.9289095E-002
 2.4922063E+002, 2.4052354E+002, 4.9993545E+001, 2.9024084E+001, 3.5265735E+001, 2.4216188E+002, 4.8353168E+001, 3.2054326E+001, 3.4343832E+001, 1.9672577E-002
 2.5019779E+002, 2.8076985E+002, 5.5649498E+001, 2.8279214E+001, 3.5291461E+001, 2.5664178E+002, 4.9020494E+001, 3.1469226E+001, 3.4397706E+001, 1.9212911E-002
 2.5116875E+002, 1.8868059E+002, 5.0270089E+001, 2.7779709E+001, 3.5278585E+001, 2.5610829E+002, 4.9642826E+001, 3.0882306E+001, 3.4446560E+001, 1.8189749E-002
 2.5213851E+002, 1.8238380E+002, 4.7028177E+001, 2.8524897E+001, 3.5339239E+001, 2.3529950E+002, 4.9259826E+001, 3.0390697E+001, 3.4490673E+001, 1.7499217E-002
 2.5310805E+002, 1.2632225E+002, 4.9911731E+001, 3.0225046E+001, 3.5536854E+001, 2.1790842E+002, 4.9099474E+001, 3.0206111E+001, 3.4544616E+001, 1.7102004E-002
 2.5407115E+002, 1.2212147E+002, 5.2813271E+001, 3.1327483E+001, 3.5806406E+001, 1.9705765E+002, 4.9242969E+001, 3.0254228E+001, 3.4620282E+001, 1.6819222E-002
 2.5504473E+002, 2.2755682E+002, 5.7890216E+001, 3.3020532E+001, 3.5972359E+001, 2.0314499E+002, 5.0396013E+001, 3.0583577E+001, 3.4713007E+001, 1.6642262E-002
 2.5601202E+002, 1.7401627E+002, 5.8158687E+001, 3.1401926E+001, 3.6041672E+001, 2.0258438E+002, 5.1379930E+001, 3.0805639E+001, 3.4804442E+001, 1.6580181E-002
 2.5698242E+002, 1.6301960E+002, 5.1593711E+001, 3.0139121E+001, 3.5948264E+001, 2.0395203E+002, 5.1755939E+001, 3.0769063E+001, 3.4878064E+001, 1.6607704E-002
 2.5796016E+002, 1.5610863E+002, 4.6240639E+001, 2.9186213E+001, 3.5525441E+001, 1.9228436E+002, 5.1279998E+001, 3.0529168E+001, 3.4908786E+001, 1.6807943E-002
 2.5892963E+002, 1.5697164E+002, 4.5128369E+001, 2.9649011E+001, 3.4695023E+001, 1.8841657E+002, 5.0173276E+001, 3.0304758E+001, 3.4859446E+001, 1.7200961E-002
 2.5989119E+002, 1.7904507E+002, 4.7414094E+001, 3.0156940E+001, 3.3928890E+001, 1.9128955E+002, 4.9572679E+001, 3.0210435E+001, 3.4719714E+001, 1.7585594E-002
 2.6087068E+002, 1.5558407E+002, 4.6474388E+001, 3.2674148E+001, 3.3625329E+001, 1.8796764E+002, 4.9088368E+001, 3.0367970E+001, 3.4537886E+001, 1.7664679E-002
 2.6183576E+002, 1.8186055E+002, 5.3178889E+001, 3.5254735E+001, 3.3766512E+001, 1.8716682E+002, 4.8790142E+001, 3.0964704E+001, 3.4370927E+001, 1.7749980E-002
 2.6280931E+002, 1.5533499E+002, 5.5804848E+001, 3.5195606E+001, 3.4044302E+001, 1.9172638E+002, 5.0005208E+001, 3.1702592E+001, 3.4249020E+001, 1.7937937E-002
 2.6377134E+002, 1.7875501E+002, 5.8501016E+001, 3.4322636E+001, 3.4246981E+001, 1.8687522E+002, 5.0829988E+001, 3.2179723E+001, 3.4169588E+001, 1.8099404E-002
 2.6475222E+002, 2.2839715E+002, 5.6502209E+001, 3.5155707E+001, 3.4273788E+001, 2.0344522E+002, 5.2053098E+001, 3.2568147E+001, 3.4113137E+001, 1.8111755E-002
 2.6571480E+002, 1.5012223E+002, 4.4080475E+001, 3.5317395E+001, 3.4115520E+001, 2.0313727E+002, 5.1724287E+001, 3.2983591E+001, 3.4055308E+001, 1.8098338E-002
 2.6668598E+002, 1.3521481E+002, 3.7221390E+001, 3.5052983E+001, 3.3937529E+001, 1.9190973E+002, 5.0067853E+001, 3.3325015E+001, 3.3982935E+001, 1.7999214E-002
 2.6765320E+002, 1.4726260E+002, 4.2527298E+001, 3.3267625E+001, 3.3864670E+001, 1.8125766E+002, 4.8678025E+001, 3.3428259E+001, 3.3904483E+001, 1.7789444E-002
 2.6862748E+002, 1.4386074E+002, 5.1079279E+001, 3.1411244E+001, 3.3927812E+001, 1.7869432E+002, 4.8429872E+001, 3.3183445E+001, 3.3835148E+001, 1.7549260E-002
 2.6959147E+002, 1.1935688E+002, 4.9787489E+001, 3.0232788E+001, 3.4135946E+001, 1.7229345E+002, 4.8786094E+001, 3.2750001E+001, 3.3789914E+001, 1.7372262E-002
 2.7056026E+002, 1.3545716E+002, 4.8259529E+001, 3.0392457E+001, 3.4550728E+001, 1.6272318E+002, 4.8685206E+001, 3.2326161E+001, 3.3787711E+001, 1.7273433E-002
 2.7153080E+002, 1.9038354E+002, 5.0385090E+001, 3.1055835E+001, 3.5049137E+001, 1.7562770E+002, 4.8679587E+001, 3.2024610E+001, 3.3843539E+001, 1.7094428E-002
 2.7250377E+002, 1.6316386E+002, 5.2050223E+001, 3.0122066E+001, 3.5431811E+001, 1.7880274E+002, 4.8981076E+001, 3.1781307E+001, 3.3946367E+001, 1.6840002E-002
 2.7347245E+002, 1.5804630E+002, 5.1034600E+001, 2.9052454E+001, 3.5583153E+001, 1.7740434E+002, 4.9367688E+001, 3.1368734E+001, 3.4066024E+001, 1.6586548E-002
 2.7444567E+002, 1.4509044E+002, 4.9108411E+001, 3.1490448E+001, 3.5481326E+001, 1.8150266E+002, 4.9352072E+001, 3.1137573E+001, 3.4172129E+001, 1.6537500E-002
 2.7541607E+002, 2.3553925E+002, 4.5872706E+001, 3.2360324E+001, 3.5139958E+001, 1.9643100E+002, 4.9011511E+001, 3.1265714E+001, 3.4237051E+001, 1.6692731E-002
 2.7638166E+002, 2.1565256E+002, 4.9849082E+001, 3.2079477E+001, 3.4688340E+001, 2.0739061E+002, 4.8783722E+001, 3.1388296E+001, 3.4245221E+001, 1.6919633E-002
 2.7735072E+002, 2.7895917E+002, 4.5022781E+001, 3.2888809E+001, 3.4253447E+001, 2.3040410E+002, 4.8522220E+001, 3.1496927E+001, 3.4200767E+001, 1.7190856E-002
 2.7832799E+002, 1.3917465E+002, 4.4656139E+001, 3.4128516E+001, 3.3904287E+001, 2.3139531E+002, 4.7851756E+001, 3.1810167E+001, 3.4115873E+001, 1.7381740E-002
 2.7929649E+002, 1.8529964E+002, 4.5641478E+001, 3.3939342E+001, 3.3665237E+001, 2.1409195E+002, 4.7428180E+001, 3.2159746E+001, 3.4007299E+001, 1.7479683E-002
 2.8027018E+002, 2.3232659E+002, 4.8814548E+001, 3.3680097E+001, 3.3495518E+001, 2.2726481E+002, 4.7308735E+001, 3.2379608E+001, 3.3889749E+001, 1.7548336E-002
 2.8123168E+002, 1.8642426E+002, 5.3782847E+001, 3.2497196E+001, 3.3506538E+001, 2.2436469E+002, 4.7803323E+001, 3.2486076E+001, 3.3776171E+001, 1.7669623E-002
 2.8220034E+002, 1.9167662E+002, 5.4864720E+001, 2.9013346E+001, 3.3899778E+001, 2.2193890E+002, 4.9020807E+001, 3.2152993E+001, 3.3699126E+001, 1.7979663E-002
 2.8318106E+002, 2.0448324E+002, 5.1296116E+001, 2.8431766E+001, 3.4507782E+001, 2.2232283E+002, 4.9532738E+001, 3.1527449E+001, 3.3695004E+001, 1.8419651E-002
 2.8414367E+002, 2.0440680E+002, 4.7717600E+001, 2.9553326E+001, 3.4997522E+001, 2.2016506E+002, 4.9504444E+001, 3.1106912E+001, 3.3763227E+001, 1.8500810E-002
 2.8511150E+002, 1.5585827E+002, 4.6857498E+001, 2.9732733E+001, 3.5357882E+001, 2.1536621E+002, 4.9082754E+001, 3.0842745E+001, 3.3875766E+001, 1.8252353E-002
 2.8608523E+002, 1.2352585E+002, 4.7256165E+001, 3.0930390E+001, 3.5576053E+001, 1.9698238E+002, 4.8683663E+001, 3.0710483E+001, 3.4014427E+001, 1.7763048E-002
 2.8705779E+002, 1.5564720E+002, 5.0832997E+001, 3.1793605E+001, 3.5303127E+001, 1.8700857E+002, 4.8740613E+001, 3.0801257E+001, 3.4133685E+001, 1.7120816E-002
 2.8803134E+002, 1.5236084E+002, 4.6380085E+001, 3.2211779E+001, 3.4649774E+001, 1.8091764E+002, 4.8653003E+001, 3.0992221E+001, 3.4173947E+001, 1.6664413E-002
 2.8899752E+002, 1.9364199E+002, 4.7393818E+001, 3.1624261E+001, 3.3865005E+001, 1.8803086E+002, 4.8178832E+001, 3.1100959E+001, 3.4113305E+001, 1.6391923E-002
 2.8996291E+002, 1.9159957E+002, 5.1655564E+001, 3.0655744E+001, 3.3339595E+001, 2.0250657E+002, 4.8422332E+001, 3.1093477E+001, 3.3977734E+001, 1.6228636E-002
 2.9093211E+002, 1.7596315E+002, 4.5426018E+001, 2.9725626E+001, 3.3286140E+001, 2.0777508E+002, 4.8423134E+001, 3.0863987E+001, 3.3826106E+001, 1.6140217E-002
 2.9191054E+002, 2.0875412E+002, 4.6032096E+001, 3.0638662E+001, 3.3648651E+001, 2.0207890E+002, 4.7802625E+001, 3.0733172E+001, 3.3713058E+001, 1.6131907E-002
 2.9287608E+002, 1.9170815E+002, 5.3487989E+001, 3.0978857E+001, 3.4130388E+001, 2.1132750E+002, 4.8145322E+001, 3.0696828E+001, 3.3670870E+001, 1.6282907E-002
 2.9384273E+002, 1.5338553E+002, 4.7692614E+001, 3.4857242E+001, 3.4534870E+001, 2.0513316E+002, 4.8660392E+001, 3.0981986E+001, 3.3694134E+001, 1.6613859E-002
 2.9481879E+002, 1.7669171E+002, 4.7943912E+001, 3.7107182E+001, 3.4740271E+001, 1.9769530E+002, 4.8319236E+001, 3.1919977E+001, 3.3756630E+001, 1.6976322E-002
 2.9578024E+002, 2.2185398E+002, 5.3856672E+001, 3.3205969E+001, 3.4591490E+001, 2.0001116E+002, 4.8708311E+001, 3.2429511E+001, 3.3811039E+001, 1.7191923E-002
