s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 3.0160193E+002, 2.3762961E+002,-7.8475246E+001,-9.8883963E+001,-5.5809871E+001,-1.5508680E-002, 0.0000000E+000, 0.0000000E+000, 4.3712599E+000, 4.4450236E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0257281E+002, 2.4140508E+002,-7.9048200E+001,-9.4874014E+001,-5.6999238E+001,-1.5491005E-002, 0.0000000E+000, 0.0000000E+000, 1.0678509E+001, 1.0468140E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0354782E+002, 2.4011099E+002,-7.9229993E+001,-9.6795229E+001,-5.8648595E+001,-1.5396430E-002, 0.0000000E+000, 0.0000000E+000, 5.3757494E+000, 5.4217786E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0451932E+002, 2.3896670E+002,-7.9195669E+001,-1.0177451E+002,-5.7687004E+001,-1.5495321E-002, 0.0000000E+000, 0.0000000E+000, 4.8446317E-001, 2.9403056E-001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0548111E+002, 2.4019815E+002,-7.9098609E+001,-1.0731206E+002,-5.8286450E+001,-1.5547710E-002, 0.0000000E+000, 0.0000000E+000,-4.1666141E+000,-4.5145124E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0645157E+002, 2.3955066E+002,-7.8775198E+001,-1.1178744E+002,-5.9630063E+001,-1.5486540E-002, 0.0000000E+000, 0.0000000E+000,-1.0447768E+001,-1.0657530E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0742245E+002, 2.4155021E+002,-7.9149911E+001,-1.0829559E+002,-5.8225572E+001,-1.5490945E-002, 0.0000000E+000, 0.0000000E+000,-4.2367454E+000,-4.1363503E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0839868E+002, 2.3677008E+002,-7.8109485E+001,-9.5219052E+001,-5.7309877E+001,-1.5422777E-002, 0.0000000E+000, 0.0000000E+000, 6.1281865E+000, 6.1162460E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.0937045E+002, 2.4059423E+002,-7.8923839E+001,-9.9969613E+001,-5.7546934E+001,-1.5334490E-002, 0.0000000E+000, 0.0000000E+000, 4.2107246E+000, 4.1385109E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1033160E+002, 2.4368364E+002,-7.9772406E+001,-1.1104863E+002,-5.7363568E+001,-1.5419856E-002, 0.0000000E+000, 0.0000000E+000,-4.4664891E+000,-4.5163855E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1130225E+002, 2.4050415E+002,-7.8867471E+001,-1.0306997E+002,-5.6728768E+001,-1.5529916E-002, 0.0000000E+000, 0.0000000E+000, 1.8818639E+000, 1.8224106E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1227744E+002, 2.3701558E+002,-7.8081183E+001,-1.0637011E+002,-5.6113712E+001,-1.5417336E-002, 0.0000000E+000, 0.0000000E+000,-3.2183861E+000,-3.5648391E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1325247E+002, 2.4327320E+002,-8.0010424E+001,-1.1741265E+002,-5.6036554E+001,-1.5482576E-002, 0.0000000E+000, 0.0000000E+000,-1.0199423E+001,-1.0201914E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1421033E+002, 2.3584369E+002,-7.7642545E+001,-1.1056408E+002,-5.6861327E+001,-1.5499624E-002, 0.0000000E+000, 0.0000000E+000,-9.3293623E+000,-9.2397689E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1518063E+002, 2.4070471E+002,-7.9096015E+001,-1.0107244E+002,-5.7782414E+001,-1.5456215E-002, 0.0000000E+000, 0.0000000E+000, 2.9399897E+000, 2.7383858E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1616223E+002, 2.4242594E+002,-7.9660526E+001,-1.0035200E+002,-5.6851869E+001,-1.5465249E-002, 0.0000000E+000, 0.0000000E+000, 5.5664866E+000, 5.5460804E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1712488E+002, 2.4077557E+002,-7.8801683E+001,-1.0082781E+002,-5.8960820E+001,-1.5555090E-002, 0.0000000E+000, 0.0000000E+000, 2.4647899E+000, 2.1697042E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1809909E+002, 2.3831276E+002,-7.8211891E+001,-9.9249289E+001,-5.6926073E+001,-1.5593800E-002, 0.0000000E+000, 0.0000000E+000, 3.8264638E+000, 3.9099104E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.1906943E+002, 2.3977478E+002,-7.8758119E+001,-1.0355135E+002,-5.6001228E+001,-1.5503890E-002, 0.0000000E+000, 0.0000000E+000, 1.7108942E+000, 1.4485756E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2003140E+002, 2.3921792E+002,-7.8865624E+001,-1.1319187E+002,-5.7641743E+001,-1.5505388E-002, 0.0000000E+000, 0.0000000E+000,-1.0006127E+001,-1.0496829E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2101068E+002, 2.4017901E+002,-7.8567558E+001,-1.0783300E+002,-5.5840435E+001,-1.5496767E-002, 0.0000000E+000, 0.0000000E+000,-1.9936923E+000,-2.0774777E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2198022E+002, 2.3911189E+002,-7.8259065E+001,-1.0178342E+002,-5.7022422E+001,-1.5524695E-002, 0.0000000E+000, 0.0000000E+000, 2.2349839E+000, 2.0314608E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2294305E+002, 2.4263261E+002,-8.0084914E+001,-1.0068916E+002,-5.7133858E+001,-1.5524674E-002, 0.0000000E+000, 0.0000000E+000, 4.6790015E+000, 4.7091526E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2391904E+002, 2.3968914E+002,-7.8532782E+001,-9.6041958E+001,-5.9024200E+001,-1.5533073E-002, 0.0000000E+000, 0.0000000E+000, 6.2455725E+000, 6.0746631E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2488837E+002, 2.4039909E+002,-7.9565013E+001,-1.0779559E+002,-5.8677839E+001,-1.5481095E-002, 0.0000000E+000, 0.0000000E+000,-5.6178714E+000,-5.6548370E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2586249E+002, 2.3975602E+002,-7.8385584E+001,-1.0739699E+002,-5.6864763E+001,-1.5578122E-002, 0.0000000E+000, 0.0000000E+000,-2.6891874E+000,-2.9068889E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2682932E+002, 2.3942312E+002,-7.8823592E+001,-1.0428704E+002,-5.6340467E+001,-1.5464844E-002, 0.0000000E+000, 0.0000000E+000,-1.8661395E-001,-4.3447565E-002, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2779727E+002, 2.3833994E+002,-7.8555519E+001,-9.4119766E+001,-5.6609083E+001,-1.5449766E-002, 0.0000000E+000, 0.0000000E+000, 9.1818542E+000, 9.0401230E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2877222E+002, 2.4028855E+002,-7.9225157E+001,-9.9687917E+001,-5.9225384E+001,-1.5483568E-002, 0.0000000E+000, 0.0000000E+000, 2.3765983E+000, 2.1346060E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.2973828E+002, 2.4241783E+002,-7.9605879E+001,-1.0249365E+002,-5.8688772E+001,-1.5520679E-002, 0.0000000E+000, 0.0000000E+000, 1.8457169E+000, 1.6140053E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3070859E+002, 2.3857828E+002,-7.8455575E+001,-1.0374212E+002,-5.6004169E+001,-1.5505530E-002, 0.0000000E+000, 0.0000000E+000, 5.6228204E-001, 3.6090848E-001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3167422E+002, 2.3998344E+002,-7.8804897E+001,-9.8615174E+001,-5.5093782E+001,-1.5486701E-002, 0.0000000E+000, 0.0000000E+000, 7.4481302E+000, 7.4540992E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3264282E+002, 2.3967974E+002,-7.9633349E+001,-1.0187923E+002,-5.6380191E+001,-1.5553606E-002, 0.0000000E+000, 0.0000000E+000, 1.9056266E+000, 1.7714096E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3361887E+002, 2.3778775E+002,-7.8327373E+001,-1.1686843E+002,-5.8581287E+001,-1.5436370E-002, 0.0000000E+000, 0.0000000E+000,-1.5939663E+001,-1.6004770E+001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3458035E+002, 2.4153539E+002,-7.9201661E+001,-1.0608005E+002,-5.7949215E+001,-1.5389287E-002, 0.0000000E+000, 0.0000000E+000,-1.7161628E+000,-1.7109162E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3555844E+002, 2.3790957E+002,-7.8307212E+001,-1.0382421E+002,-5.7463368E+001,-1.5502961E-002, 0.0000000E+000, 0.0000000E+000,-1.5650112E+000,-1.7007217E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3652505E+002, 2.4231614E+002,-7.9476603E+001,-1.0643695E+002,-5.7611312E+001,-1.5514457E-002, 0.0000000E+000, 0.0000000E+000,-1.0560979E+000,-1.2242323E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3749759E+002, 2.4044527E+002,-7.8673661E+001,-1.1251749E+002,-5.8047697E+001,-1.5493492E-002, 0.0000000E+000, 0.0000000E+000,-8.8020158E+000,-8.8090753E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3846500E+002, 2.3847910E+002,-7.8647431E+001,-1.0338989E+002,-5.7839700E+001,-1.5475681E-002, 0.0000000E+000, 0.0000000E+000,-1.3106868E+000,-1.4134001E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.3943274E+002, 2.3881074E+002,-7.8382261E+001,-1.1236743E+002,-5.7005101E+001,-1.5458243E-002, 0.0000000E+000, 0.0000000E+000,-8.8769154E+000,-8.9595128E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4040750E+002, 2.4217508E+002,-7.9427682E+001,-1.0625134E+002,-5.6189221E+001,-1.5491403E-002, 0.0000000E+000, 0.0000000E+000, 4.3795780E-001, 2.9134554E-001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4137814E+002, 2.3879402E+002,-7.8767316E+001,-1.0261106E+002,-5.6955580E+001,-1.5484806E-002, 0.0000000E+000, 0.0000000E+000, 5.7588085E-001, 4.4457275E-001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4234540E+002, 2.4046312E+002,-7.8937137E+001,-1.0026966E+002,-5.6833712E+001,-1.5514811E-002, 0.0000000E+000, 0.0000000E+000, 4.2043259E+000, 4.4070995E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4331931E+002, 2.3864797E+002,-7.8184394E+001,-1.0414644E+002,-5.6013558E+001,-1.5463794E-002, 0.0000000E+000, 0.0000000E+000, 6.8504298E-001, 2.8811635E-001, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4428738E+002, 2.4146071E+002,-7.9141197E+001,-1.0124381E+002,-5.6571087E+001,-1.5479641E-002, 0.0000000E+000, 0.0000000E+000, 4.4924665E+000, 4.4891365E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4525293E+002, 2.4005612E+002,-7.8569160E+001,-1.0929313E+002,-5.6740566E+001,-1.5502486E-002, 0.0000000E+000, 0.0000000E+000,-4.4867307E+000,-4.5622393E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4623044E+002, 2.3974877E+002,-7.8692865E+001,-1.0631337E+002,-5.5998301E+001,-1.5509201E-002, 0.0000000E+000, 0.0000000E+000,-1.3459902E+000,-1.2712764E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4719138E+002, 2.3863244E+002,-7.8635909E+001,-1.0603537E+002,-5.5771652E+001,-1.5439291E-002, 0.0000000E+000, 0.0000000E+000,-1.6365624E+000,-1.8259304E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4816144E+002, 2.4025283E+002,-7.9102359E+001,-1.0503814E+002,-5.7291242E+001,-1.5522696E-002, 0.0000000E+000, 0.0000000E+000,-1.3978415E+000,-1.1944365E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.4913513E+002, 2.4197080E+002,-7.8812892E+001,-1.1007335E+002,-5.7839983E+001,-1.5501887E-002, 0.0000000E+000, 0.0000000E+000,-4.5679807E+000,-4.7709210E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5010062E+002, 2.3902060E+002,-7.8809368E+001,-1.0727125E+002,-5.6363998E+001,-1.5538367E-002, 0.0000000E+000, 0.0000000E+000,-3.3170219E+000,-3.4395481E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5108148E+002, 2.4056071E+002,-7.8902847E+001,-1.1046774E+002,-5.4658827E+001,-1.5587199E-002, 0.0000000E+000, 0.0000000E+000,-3.4549814E+000,-3.4842924E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5204370E+002, 2.3893508E+002,-7.8477008E+001,-9.4637854E+001,-5.6008841E+001,-1.5527416E-002, 0.0000000E+000, 0.0000000E+000, 9.8282272E+000, 9.7958486E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5301822E+002, 2.3938484E+002,-7.8636640E+001,-1.0634004E+002,-5.7664324E+001,-1.5463212E-002, 0.0000000E+000, 0.0000000E+000,-2.9558224E+000,-3.2716297E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5398044E+002, 2.4200275E+002,-7.9293495E+001,-1.1051855E+002,-5.8063217E+001,-1.5455597E-002, 0.0000000E+000, 0.0000000E+000,-5.6234082E+000,-5.8879686E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5495300E+002, 2.3966560E+002,-7.8302898E+001,-1.1130100E+002,-5.6215430E+001,-1.5554285E-002, 0.0000000E+000, 0.0000000E+000,-5.8774601E+000,-6.1692875E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5592789E+002, 2.4036798E+002,-7.8746944E+001,-1.0053843E+002,-5.3994562E+001,-1.5530194E-002, 0.0000000E+000, 0.0000000E+000, 6.9930148E+000, 7.0725125E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5690121E+002, 2.3929710E+002,-7.8241927E+001,-1.0063147E+002,-5.3854540E+001,-1.5538358E-002, 0.0000000E+000, 0.0000000E+000, 6.5712763E+000, 6.5536228E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5786353E+002, 2.4017854E+002,-7.9014169E+001,-1.0357156E+002,-5.5652223E+001,-1.5570009E-002, 0.0000000E+000, 0.0000000E+000, 2.0802551E+000, 1.9250140E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5883282E+002, 2.4078911E+002,-7.9059051E+001,-1.0473666E+002,-5.8516836E+001,-1.5540567E-002, 0.0000000E+000, 0.0000000E+000,-1.4059141E+000,-1.5389799E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.5980304E+002, 2.3808070E+002,-7.7958917E+001,-9.9164478E+001,-5.7495559E+001,-1.5509372E-002, 0.0000000E+000, 0.0000000E+000, 3.9286134E+000, 3.4462339E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.6077338E+002, 2.4134273E+002,-7.8973849E+001,-1.0520687E+002,-5.5190769E+001,-1.5476945E-002, 0.0000000E+000, 0.0000000E+000, 2.1772079E+000, 1.9557669E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
 3.6175070E+002, 2.3998846E+002,-7.9060249E+001,-1.0760063E+002,-5.7940777E+001,-1.5512518E-002, 0.0000000E+000, 0.0000000E+000,-4.3455232E+000,-4.6287162E+000, 0.0000000E+000, 5.2175120E-003, 0.0000000E+000
